78,98,85,107,7,9,true
95,125,79,118,16,7,true
54,82,79,97,25,15,true
97,119,93,120,4,-1,false
73,102,105,125,32,23,true
81,118,88,112,7,-6,false
76,102,65,101,11,1,true
77,106,97,131,20,25,true
68,85,61,98,7,-13,false
86,101,83,112,3,-11,false
67,88,95,138,28,50,true
92,124,90,130,2,-6,false
81,120,87,13,6,-107,false
79,114,78,109,1,5,true
86,117,82,120,4,-3,false
102,129,98,120,4,9,true
90,127,98,124,8,-3,false
106,133,74,99,32,34,true
90,120,89,126,1,-6,false
89,119,83,115,6,4,true
89,113,75,100,14,13,true
72,107,83,120,11,13,true
76,110,78,12,2,-98,false
100,26,87,,13,NaN,false
105,142,93,115,12,27,true
68,90,84,102,16,12,true
83,116,84,118,1,2,true
91,118,93,109,2,-9,false
68,97,74,94,6,-3,false
69,90,94,120,25,30,true
91,108,77,106,14,2,true
76,94,101,127,25,33,true
85,113,87,116,2,3,true
85,110,72,98,13,12,true
100,129,91,11,9,118,true
85,109,87,104,2,-5,false
96,114,87,118,9,-4,false
63,90,69,98,6,8,true
100,124,85,121,15,3,true
92,112,92,123,0,11,true
80,120,92,108,12,-12,false
83,107,65,77,18,30,true
87,119,71,100,16,19,true
75,112,106,133,31,21,true
72,115,78,97,6,-18,false
84,109,103,122,19,13,true
62,96,73,104,11,8,true
82,121,97,127,15,6,true
81,105,89,112,8,7,true
89,119,81,108,8,11,true
78,104,88,112,10,8,true
97,130,92,117,5,13,true
69,95,79,111,10,16,true
93,113,90,115,3,-2,false
96,127,71,102,25,25,true
76,94,80,103,4,9,true
99,137,81,113,18,24,true
102,129,79,103,23,26,true
82,109,89,122,7,13,true
76,105,87,115,11,10,true
91,116,76,103,15,13,true
89,113,86,104,3,9,true
87,113,90,119,3,6,true
74,102,64,104,10,-2,false
91,104,107,124,16,20,true
92,120,79,108,13,12,true
73,92,84,105,11,13,true
84,116,88,126,4,10,true
83,107,88,110,5,3,true
71,102,98,129,27,27,true
81,106,79,103,2,3,true
